day	hour	value
1	1	88
1	2	20
1	3	44
1	4	0
1	5	33
1	6	2
1	7	0
1	8	9
1	9	25
1	10	1
1	11	57
1	12	61
2	1	6
2	2	22
2	3	0
2	4	0
2	5	33
2	6	5
2	7	4
2	8	8
2	9	28
2	10	99
2	11	51
2	12	66
3	1	5
3	2	8
3	3	44
3	4	0
3	5	12
3	6	2
3	7	5
3	8	12
3	9	34
3	10	43
3	11	54
3	12	44
4	1	22
4	2	33
4	3	102
4	4	33
4	5	0
4	6	2
4	7	4
4	8	13
4	9	26
4	10	58
4	11	61
4	12	59
5	1	2
5	2	0
5	3	8
5	4	2
5	5	0
5	6	2
5	7	4
5	8	14
5	9	31
5	10	48
5	11	46
5	12	50
6	1	11
6	2	22
6	3	33
6	4	44
6	5	4
6	6	0
6	7	4
6	8	8
6	9	8
6	10	6
6	11	14
6	12	12
7	1	7
7	2	6
7	3	11
7	4	22
7	5	33
7	6	44
7	7	66
7	8	5
7	9	33
7	10	0
7	11	2
7	12	2
